Feature1,Feature2,Feature3,Feature4,Feature5
117.3470008,39.1669006,236.22287,243.571,205.201
114.6849352,38.4047699,12222.62863,862.515,184.927
117.0162765,39.3045502,7330.52914,762.813,183.759
117.3563995,39.125771,0,0,0
120.59552,38.7999868,1257.31529,428.068,51.147
116.8110819,37.4781647,9479.39527,802.053,178.942
120.1505127,40.8763733,6667.58108,724.532,194.356
116.9179369,39.5001984,10081.38259,873.557,188.903
116.4404907,39.6821982,2773.71373,385.327,219.735
117.1055506,38.2964172,8862.16776,792.158,183.351
118.2158163,37.5136088,8869.78786,839.044,203.962
117.4025892,39.3018951,807.72982,402.843,98.726
116.9911499,38.5651773,11033.89417,881.274,186.274
116.9911499,38.5651773,11033.89417,883.115,186.261
118.6923483,38.4577789,6865.70349,685.823,64.058
115.7261353,40.0074921,5417.88588,713.318,139.528
117.652997,37.1355743,7802.97488,774.395,330.799
116.3953247,38.9590558,5539.80736,676.284,329.924
116.9196167,39.1181713,8153.49915,752.24,185.935
118.1676025,39.0349825,6553.27969,749.31,255.105
120.1253476,38.3576008,6309.43672,793.992,190.891
117.1059584,38.2914501,8869.78786,792.158,183.351
117.1059584,38.2914501,8869.78786,792.269,183.484
116.7684937,38.8612961,2499.39039,415.088,295.079
116.8216007,38.328598,9479.39527,740.267,191.985
116.8081055,39.1954946,4206.29115,511.236,358.962
114.6759033,39.1995912,8412.5823,784.822,133.183
120.0979415,38.5705261,6888.56376,815.406,232.011
116.9169409,40.4802432,11308.21751,865.677,182.452
115.1057129,39.5110722,10470.00732,803.326,132.851
116.8942261,40.694046,3596.68374,586.733,126.4
116.3953247,38.9590558,5539.80736,674.682,329.845
116.3363647,38.7756865,4206.29115,639.144,287.017
117.3454932,39.1337814,0,0,205.313
117.4590415,38.1640778,6835.22312,717.26,206.367
116.9093628,40.2727661,3017.55669,562.584,325.054
116.9918558,38.9750061,1630.69983,388.92,0
117.0613403,38.7232687,9456.53499,760.845,183.629
116.8748169,39.8346102,4861.61912,655.608,180
118.1275675,39.0447235,9647.03731,957.835,258.06
115.7261353,40.0074921,5417.88588,715.929,139.511
115.436753,39.7477112,9784.19898,770.383,133.247
116.0426539,40.1633156,5776.03024,666.576,131.396
118.046814,38.5147146,5059.74153,695.771,334.117
